Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOB Value (USD),Total tax (ETB),Total tax (USD)
2011,01,1000 100,71081300,"Semi-manufactured gold (incl. gold plated with platinum), non-monetary",Switzerland,,,758.20,677.61,"409,641,357.81","24,005,189.53",0.00,0.00
2011,01,1071 100,07099020,---Fresh chat,Somalia,,,"3,419,818.00","2,973,295.59","250,693,233.20","14,690,749.51",0.00,0.00
2011,01,1000 100,12074000,Sesamum seeds,China,,,"9,976,146.80","9,956,000.00","230,175,741.99","13,488,414.21",0.00,0.00
2011,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Germany,,,"2,713,045.50","2,684,040.00","193,921,055.33","11,363,871.34",0.00,0.00
2011,01,1071 100,06031100,--Roses,Netherlands,"81,092,290",,"2,825,366.00","2,587,434.00","155,036,666.35","9,085,226.60",0.00,0.00
2011,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Germany,,,"2,208,224.00","2,181,600.00","152,564,212.08","8,940,339.54",0.00,0.00
2011,01,1071 100,12074000,Sesamum seeds,China,,,"5,567,613.00","5,556,500.00","126,858,474.42","7,433,970.38",0.00,0.00
2011,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Saudi Arabia,,,"1,371,403.50","1,349,700.00","85,839,109.90","5,030,215.00",0.00,0.00
2011,01,1000 100,12074000,Sesamum seeds,Israel,,,"3,310,104.00","3,303,492.00","77,105,411.67","4,518,415.89",0.00,0.00
2011,01,1071 100,01029010,---OX,Sudan,"8,297",UN,"2,348,700.00","2,348,700.00","55,631,474.42","3,260,032.37",0.00,0.00
2011,01,1071 100,07099020,---Fresh chat,Djibouti,,,"465,904.00","434,705.95","55,587,655.67","3,257,464.57",0.00,0.00
2011,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Belgium,,,"690,214.00","681,600.00","51,223,850.93","3,001,743.42",0.00,0.00
2011,01,1000 100,02045000,"Fresh, chilled or frozen goat meat",United Arab Emirates,,,"693,859.00","693,254.00","47,056,006.95","2,757,505.67",0.00,0.00
2011,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",United States,,,"697,761.40","689,040.00","46,422,597.16","2,720,387.53",0.00,0.00
2011,01,1000 101,26159000,"Niobium, tantalum and vanadium ores and concentrates",Thailand,,,"21,157.00","20,364.00","41,924,388.59","2,456,790.25",0.00,0.00
2011,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",France,,,"679,125.00","670,800.00","41,673,051.90","2,442,061.79",0.00,0.00
2011,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Sweden,,,"540,067.50","533,400.00","40,692,591.87","2,384,606.34",0.00,0.00
2011,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Italy,,,"593,147.00","585,600.00","38,639,963.30","2,264,321.28",0.00,0.00
2011,01,1071 100,01029010,---OX,Somalia,"5,392",UN,"1,886,500.00","1,886,500.00","37,877,537.55","2,219,642.74",0.00,0.00
2011,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Belgium,,,"473,805.00","469,200.00","37,818,204.55","2,216,165.80",0.00,0.00
2011,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",France,,,"466,560.00","460,800.00","31,864,778.27","1,867,292.03",0.00,0.00
2011,01,1071 100,01029010,---OX,Egypt,"3,420",UN,"1,214,000.00","1,213,500.00","29,865,192.24","1,750,115.28",0.00,0.00
2011,01,1000 100,12079900,"Other oil seeds and oleaginous fruits, nes",United States,,,"2,237,793.80","2,232,753.00","25,127,561.30","1,472,487.73",0.00,0.00
2011,01,1071 100,01061910,---Camels,Egypt,"2,866",UN,"1,118,000.00","1,118,000.00","22,843,928.51","1,338,665.70",0.00,0.00
2011,01,1000 100,07135000,"Dried broad beans and horse beans, shelled",Sudan,,,"2,379,642.50","2,368,400.00","22,678,888.69","1,328,994.28",0.00,0.00
2011,01,1000 100,02045000,"Fresh, chilled or frozen goat meat",Saudi Arabia,,,"311,144.00","310,064.00","21,022,813.97","1,231,947.47",0.00,0.00
2011,01,1071 100,06021000,UNROOTED CUTTINGS AND SLIPS,Germany,"17,649,350",UN,"75,630.00","67,070.00","18,862,533.02","1,105,353.92",0.00,0.00
2011,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Saudi Arabia,,,"274,104.00","270,000.00","17,279,180.22","1,012,568.65",0.00,0.00
2011,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Sweden,,,"272,160.00","268,800.00","17,159,472.08","1,005,553.69",0.00,0.00
2011,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",United Kingdom,,,"151,242.00","151,200.00","16,621,754.20","974,043.15",0.00,0.00
2011,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED","Korea, Republic of",,,"224,670.00","222,000.00","15,466,731.30","906,358.23",0.00,0.00
2011,01,1071 100,06031900,--Other cut flowers,Netherlands,"4,891,989",,"190,199.00","175,225.00","15,417,460.75","903,470.95",0.00,0.00
2011,01,1000 100,07099020,---Fresh chat,United Kingdom,,,"29,971.69","25,476.75","14,920,506.23","874,349.17",0.00,0.00
2011,01,1000 100,07132000,"Dried chickpeas, shelled",Egypt,,,"1,089,174.00","1,087,000.00","14,869,016.71","871,331.86",0.00,0.00
2011,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Kenya,,,"2,568,839.00","2,564,090.00","14,700,982.14","861,484.94",0.00,0.00
2011,01,1000 100,41053000,TANNED/CRUST SKINS OF SHEEP/LAMPS..IN THE DRY STATE(CRUST),India,,,"40,605.50","39,278.50","14,655,491.10","858,819.15",0.00,0.00
2011,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Sudan,,,"298,481.35","295,260.00","14,631,607.37","857,419.55",0.00,0.00
2011,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",United Kingdom,,,"134,676.00","134,400.00","14,185,853.90","831,298.17",0.00,0.00
2011,01,1071 100,01061910,---Camels,Somalia,"2,022",UN,"1,011,000.00","1,011,000.00","14,075,938.66","824,857.08",0.00,0.00
2011,01,1000 505,41053000,TANNED/CRUST SKINS OF SHEEP/LAMPS..IN THE DRY STATE(CRUST),India,,,"35,893.00","34,129.00","13,662,381.09","800,622.40",0.00,0.00
2011,01,1071 100,06021000,UNROOTED CUTTINGS AND SLIPS,Netherlands,"34,831,913",UN,"38,686.00","29,927.00","12,545,367.61","735,164.85",0.00,0.00
2011,01,1071 100,44072900,OTHER TROPICAL WOOD SPEC'D IN SUBHDG.NOTE 1 TO CH44 SAWN LENGTHWSE>6MM NES,Sudan,"11,111",M3,"3,879,400.00","3,879,400.00","12,164,949.67","712,872.17",0.00,0.00
2011,01,1071 100,07135000,"Dried broad beans and horse beans, shelled",Sudan,,,"1,197,359.00","1,192,300.00","11,652,411.45","682,837.17",0.00,0.00
2011,01,1000 100,12079900,"Other oil seeds and oleaginous fruits, nes",China,,,"651,300.00","650,000.00","11,521,509.93","675,166.27",0.00,0.00
2011,01,1000 100,09101000,Ginger,Yemen,,,"222,471.00","222,000.00","11,473,961.53","672,379.91",0.00,0.00
2011,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Turkey,,,"1,075,872.00","1,074,000.00","11,464,375.35","671,818.16",0.00,0.00
2011,01,1000 100,52093900,"Dyed woven cotton fabrics, with >=85% cotton, >=200g/m2, nes",Turkey,,M,"86,461.97","83,613.00","11,426,588.15","669,603.81",0.00,0.00
2011,01,1000 100,06021000,UNROOTED CUTTINGS AND SLIPS,Netherlands,"11,046,892",UN,"49,264.00","42,454.00","11,184,098.11","655,393.77",0.00,0.00
2011,01,1000 100,01029010,---OX,Sudan,"1,619",UN,"419,560.00","419,560.00","11,028,842.88","646,295.74",0.00,0.00
2011,01,1071 100,07082000,"Beans, fresh or chilled",Netherlands,,,"392,030.00","325,980.00","10,879,992.30","637,573.02",0.00,0.00
2011,01,1000 100,54082200,"Dyed woven fabrics, >=85% artificial filaments",Turkey,,M,"80,084.21","77,567.10","10,230,042.42","599,485.63",0.00,0.00
2011,01,1000 100,61071100,"MEN'S OR BOYS' UNDERPANTS AND BRIEFS OF COTTON, KNITTED OR CROCHETED",Germany,"143,982",UN,"55,022.00","48,795.20","10,067,644.37","589,969.02",0.00,0.00
2011,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Japan,,,"145,193.00","143,400.00","9,945,912.84","582,835.49",0.00,0.00
2011,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Australia,,,"128,805.00","127,200.00","9,632,315.87","564,458.55",0.00,0.00
2011,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Finland,,,"111,780.00","110,400.00","9,532,975.63","558,637.17",0.00,0.00
2011,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Netherlands,,,"871,674.40","869,824.00","9,261,740.98","542,742.68",0.00,0.00
2011,01,1000 100,07132000,"Dried chickpeas, shelled",United Arab Emirates,,,"868,061.00","866,000.00","8,939,898.45","523,882.54",0.00,0.00
2011,01,1071 100,06021000,UNROOTED CUTTINGS AND SLIPS,Belgium,"6,785,025",UN,"22,131.00","20,398.00","8,756,060.10","513,109.52",0.00,0.00
2011,01,1000 100,09101000,Ginger,Sudan,,,"192,690.00","191,700.00","8,745,779.80","512,507.09",0.00,0.00
2011,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",India,,,"869,528.00","867,912.00","8,714,743.33","510,688.34",0.00,0.00
2011,01,1000 100,09101000,Ginger,Saudi Arabia,,,"163,546.00","163,435.00","8,672,495.90","508,212.62",0.00,0.00
2011,01,1000 100,41053000,TANNED/CRUST SKINS OF SHEEP/LAMPS..IN THE DRY STATE(CRUST),Italy,,,"21,273.05","20,613.35","8,154,476.29","477,856.41",0.00,0.00
2011,01,1000 100,02041000,Fresh or chilled lamb carcasses and half carcasses,Saudi Arabia,,,"112,516.00","112,298.00","7,610,650.47","445,987.94",0.00,0.00
2011,01,1000 100,41062200,TANNED/CRUST HIDES/SKINS OF GOATS OR KIDS IN THE DRY STATE(CRUST),Italy,,,"36,724.87","36,106.17","7,078,901.82","414,827.21",0.00,0.00
2011,01,1000 100,61178000,"Other clothing accessories, knitted or crocheted, nes",Sudan,,UN,"14,086.00","13,940.00","7,068,283.74","414,204.98",0.00,0.00
2011,01,1000 100,13019000,"NATURAL GUMS,RESINS,GUM-RESINS,NATURAL OLEOR'INS/BALSAMS (EXCL. GUMARABIC)",Viet Nam,,,"178,044.25","176,000.00","6,984,859.44","409,316.28",0.00,0.00
2011,01,1000 100,13019000,"NATURAL GUMS,RESINS,GUM-RESINS,NATURAL OLEOR'INS/BALSAMS (EXCL. GUMARABIC)",China,,,"155,291.20","154,090.00","6,821,850.50","399,763.87",0.00,0.00
2011,01,1000 100,01029010,---OX,United Arab Emirates,807,UN,"289,520.00","289,520.00","6,582,449.58","385,734.85",0.00,0.00
2011,01,1000 505,41053000,TANNED/CRUST SKINS OF SHEEP/LAMPS..IN THE DRY STATE(CRUST),Indonesia,,,"12,829.50","12,116.50","6,560,045.58","384,421.97",0.00,0.00
2011,01,1000 101,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Israel,,,"77,760.00","76,800.00","6,469,278.27","379,102.96",0.00,0.00
2011,01,1071 100,06021000,UNROOTED CUTTINGS AND SLIPS,France,"5,630,000",UN,"27,567.00","24,504.00","6,370,679.11","373,325.00",0.00,0.00
2011,01,1000 100,12074000,Sesamum seeds,Jordan,,,"266,532.00","266,000.00","6,153,099.23","360,574.71",0.00,0.00
2011,01,1000 100,41120000,LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..,Romania,,,"3,807.50","3,560.50","6,074,722.32","355,981.78",0.00,0.00
2011,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Japan,,,"91,050.00","90,000.00","5,985,200.85","350,735.78",0.00,0.00
2011,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Belgium,,,"530,058.00","529,000.00","5,960,692.46","349,299.58",0.00,0.00
2011,01,1000 100,06021000,UNROOTED CUTTINGS AND SLIPS,Germany,"5,162,366",UN,"24,491.10","21,537.10","5,898,084.28","345,630.70",0.00,0.00
2011,01,1000 101,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Germany,,,"75,330.00","74,400.00","5,887,227.21","344,994.47",0.00,0.00
2011,01,1000 100,62082100,WOMEN'S OR GIRLS' NIGHTDRESSES AND PYJAMAS OF COTTON,Germany,"53,982",UN,"39,880.00","34,136.50","5,759,374.12","337,502.22",0.00,0.00
2011,01,1000 100,33059000,"Preparations for use on the hair, nes",Sudan,,LTR,"206,040.00","148,122.00","5,718,130.22","335,085.31",0.00,0.00
2011,01,1000 505,41062200,TANNED/CRUST HIDES/SKINS OF GOATS OR KIDS IN THE DRY STATE(CRUST),China,,,"35,615.00","34,609.00","5,475,321.03","320,856.57",0.00,0.00
2011,01,1071 100,10070000,Grain sorghum,Sudan,,,"1,356,549.00","1,349,800.00","5,422,681.33","317,771.85",0.00,0.00
