Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOB Value (USD),Total tax (ETB),Total tax (USD)
2012,01,1000 100,12074000,Sesamum seeds,China,,,"25,471,316.40","25,420,784.00","555,550,382.61","31,096,094.32",0.00,0.00
2012,01,1000 100,71081300,"Semi-manufactured gold (incl. gold plated with platinum), non-monetary",Switzerland,,,650.00,576.02,"411,786,335.64","23,049,118.73",0.00,0.00
2012,01,1071 100,07099000,"Other vegetables, fresh or chilled, nes",Somalia,,,"3,118,672.00","2,712,036.06","238,786,423.66","13,365,709.72",0.00,0.00
2012,01,1071 100,06031100,--Roses,Netherlands,"78,940,790",,"2,722,765.00","2,485,248.26","161,690,394.17","9,050,375.82",0.00,0.00
2012,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Saudi Arabia,,,"1,261,944.00","1,242,000.00","112,160,035.78","6,277,988.75",0.00,0.00
2012,01,1000 100,12074000,Sesamum seeds,Israel,,,"4,625,208.00","4,613,542.00","103,928,920.71","5,817,264.50",0.00,0.00
2012,01,1071 100,01029010,---OX,Somalia,"11,994",UN,"4,196,580.00","4,193,880.00","87,678,441.14","4,907,668.43",0.00,0.00
2012,01,1000 100,02045000,"Fresh, chilled or frozen goat meat",United Arab Emirates,,,"713,436.90","707,416.48","63,365,841.12","3,546,807.33",0.00,0.00
2012,01,1071 100,12074000,Sesamum seeds,China,,,"2,855,700.00","2,850,000.00","62,297,148.71","3,486,988.89",0.00,0.00
2012,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Saudi Arabia,,,"675,990.00","666,000.00","60,817,614.39","3,404,174.19",0.00,0.00
2012,01,1071 100,07099000,"Other vegetables, fresh or chilled, nes",Djibouti,,,"459,965.00","438,032.11","57,764,163.87","3,233,261.90",0.00,0.00
2012,01,1000 100,12074000,Sesamum seeds,Turkey,,,"2,567,546.00","2,562,416.00","55,090,854.27","3,083,627.43",0.00,0.00
2012,01,1000 100,12074000,Sesamum seeds,Saudi Arabia,,,"1,883,077.10","1,879,340.00","43,007,513.79","2,407,280.68",0.00,0.00
2012,01,1071 100,01029010,---OX,Sudan,"5,789",UN,"1,252,500.00","1,252,500.00","40,329,698.68","2,257,394.02",0.00,0.00
2012,01,1000 100,07135000,"Dried broad beans and horse beans, shelled",Sudan,,,"3,167,871.50","3,154,700.00","39,653,899.54","2,219,567.19",0.00,0.00
2012,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Germany,,,"465,600.00","460,800.00","37,040,714.81","2,073,298.12",0.00,0.00
2012,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Sudan,,,"522,878.25","517,620.00","36,964,045.82","2,069,006.68",0.00,0.00
2012,01,1071 100,07135000,"Dried broad beans and horse beans, shelled",Sudan,,,"2,477,118.80","2,431,900.00","31,040,328.13","1,737,435.53",0.00,0.00
2012,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",United States,,,"219,370.00","216,600.00","28,984,044.18","1,622,338.13",0.00,0.00
2012,01,1000 100,02045000,"Fresh, chilled or frozen goat meat",Saudi Arabia,,,"300,355.00","298,324.00","27,521,656.31","1,540,483.18",0.00,0.00
2012,01,1000 100,07132000,"Dried chickpeas, shelled",Pakistan,,,"2,035,887.00","2,031,804.00","25,773,681.57","1,442,642.93",0.00,0.00
2012,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED","Korea, Republic of",,,"232,640.00","230,400.00","23,853,892.80","1,335,185.65",0.00,0.00
