Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOB Value (USD),Total tax (ETB),Total tax (USD)
2014,01,1000 100,12074000,Sesamum seeds,China,,,"13,307,561.30","13,280,950.00","601,736,176.97","29,872,325.55",0.00,0.00
2014,01,1000 100,71081300,"Semi-manufactured gold (incl. gold plated with platinum), non-monetary",Switzerland,,,887.40,805.52,"472,033,634.71","23,433,429.71",0.00,0.00
2014,01,1071 100,07099000,"Other vegetables, fresh or chilled, nes",Somalia,,,"3,649,360.00","3,173,728.19","312,359,919.62","15,506,658.18",0.00,0.00
2014,01,1000 100,12074090,--OTHER,China,,,"6,549,021.90","6,535,950.00","298,747,613.61","14,830,894.86",0.00,0.00
2014,01,1071 100,12074000,Sesamum seeds,China,,,"5,901,780.00","5,890,000.00","265,034,661.02","13,157,263.90",0.00,0.00
2014,01,1071 100,06031100,--Roses,Netherlands,,,"2,688,817.00","2,363,048.60","184,001,261.93","9,134,477.55",0.00,0.00
2014,01,1000 100,12074000,Sesamum seeds,Israel,,,"3,526,989.40","3,519,807.00","161,422,927.73","8,013,608.68",0.00,0.00
2014,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Saudi Arabia,,,"1,848,560.00","1,820,000.00","124,313,458.12","6,171,362.52",0.00,0.00
2014,01,1071 100,01022910,---OX,Somalia,"9,727",UN,"3,413,050.00","3,413,050.00","103,046,101.18","5,115,575.23",0.00,0.00
2014,01,1000 100,12074000,Sesamum seeds,Turkey,,,"1,827,655.60","1,824,000.00","82,418,984.43","4,091,571.74",0.00,0.00
2014,01,1071 100,12074000,Sesamum seeds,Israel,,,"1,561,116.00","1,558,000.00","75,277,400.64","3,737,038.10",0.00,0.00
2014,01,1071 100,01029010,---OX,Somalia,"6,709",UN,"2,342,200.00","2,342,100.00","70,962,715.71","3,522,841.78",0.00,0.00
2014,01,1000 100,12074000,Sesamum seeds,Jordan,,,"1,503,045.60","1,500,000.00","69,193,591.39","3,435,016.15",0.00,0.00
2014,01,1071 100,07099000,"Other vegetables, fresh or chilled, nes",Djibouti,,,"483,838.92","460,760.53","67,073,941.81","3,329,789.20",0.00,0.00
2014,01,1000 100,02045000,"Fresh, chilled or frozen goat meat",United Arab Emirates,,,"641,962.00","638,189.00","60,695,848.72","3,013,157.96",0.00,0.00
2014,01,1071 100,07099900,--OTHER,Somalia,,,"664,200.00","577,558.51","57,498,231.78","2,854,416.88",0.00,0.00
2014,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Germany,,,"772,035.00","764,400.00","52,307,494.33","2,596,730.19",0.00,0.00
2014,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Sudan,,,"1,107,094.30","1,095,900.00","50,395,720.15","2,501,822.92",0.00,0.00
2014,01,1000 100,12074000,Sesamum seeds,Saudi Arabia,,,"1,066,228.00","1,064,075.00","48,442,424.46","2,404,854.37",0.00,0.00
2014,01,1000 100,12074000,Sesamum seeds,Greece,,,"989,824.00","987,832.00","45,193,455.74","2,243,564.00",0.00,0.00
2014,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Germany,,,"716,976.00","710,400.00","43,570,328.94","2,162,986.21",0.00,0.00
2014,01,1000 100,12074090,--OTHER,Turkey,,,"913,824.00","912,000.00","41,655,189.95","2,067,911.89",0.00,0.00
2014,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Turkey,,,"1,809,660.00","1,806,000.00","39,526,705.26","1,962,246.33",0.00,0.00
2014,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",United Kingdom,,,"449,896.00","448,200.00","36,671,852.09","1,820,521.26",0.00,0.00
2014,01,1000 100,02045000,"Fresh, chilled or frozen goat meat",Saudi Arabia,,,"343,524.00","340,744.40","35,972,657.25","1,785,810.74",0.00,0.00
2014,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Russian Federation,,,"1,936,493.20","1,932,484.00","35,133,816.20","1,744,167.69",0.00,0.00
2014,01,1071 100,12074000,Sesamum seeds,Turkey,,,"761,514.00","760,000.00","34,854,202.56","1,730,286.67",0.00,0.00
2014,01,1000 100,12079900,"Other oil seeds and oleaginous fruits, nes",United States,,,"2,273,356.80","2,268,774.00","33,320,840.62","1,654,165.13",0.00,0.00
