Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOB Value (USD),Total tax (ETB),Total tax (USD)
2010,01,1000 100,71081300,"Semi-manufactured gold (incl. gold plated with platinum), non-monetary",Switzerland,,,539.50,471.70,"168,706,652.37","11,583,415.32",0.00,0.00
2010,01,1071 100,07099020,---Fresh chat,Somalia,,,"2,908,432.93","2,543,967.35","162,686,547.11","11,170,074.30",0.00,0.00
2010,01,1071 100,06031100,--Roses,Netherlands,"83,000,923",,"2,784,021.75","2,513,174.75","130,660,820.15","8,971,184.74",0.00,0.00
2010,01,1000 100,12074000,Sesamum seeds,Israel,,,"6,639,382.80","6,626,060.00","120,194,219.78","8,252,546.93",0.00,0.00
2010,01,1000 100,12074000,Sesamum seeds,China,,,"4,701,540.40","4,692,050.00","85,939,449.02","5,900,611.01",0.00,0.00
2010,01,1071 100,12074000,Sesamum seeds,China,,,"3,683,261.20","3,675,600.00","68,510,602.73","4,703,944.71",0.00,0.00
2010,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Germany,,,"1,176,283.00","1,161,600.00","51,056,986.99","3,505,577.74",0.00,0.00
2010,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Saudi Arabia,,,"876,852.00","862,000.00","37,558,968.92","2,578,802.49",0.00,0.00
2010,01,1071 100,07099020,---Fresh chat,Djibouti,,,"406,574.65","386,963.79","35,880,340.40","2,463,547.69",0.00,0.00
2010,01,1000 100,12074000,Sesamum seeds,Jordan,,,"1,876,329.20","1,872,000.00","33,804,404.82","2,321,013.75",0.00,0.00
2010,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Germany,,,"752,145.00","742,800.00","33,293,918.59","2,285,963.72",0.00,0.00
2010,01,1000 100,12074000,Sesamum seeds,Turkey,,,"1,732,078.00","1,728,810.00","32,077,364.80","2,202,435.02",0.00,0.00
2010,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",United States,,,"536,328.00","530,400.00","30,596,946.56","2,100,789.35",0.00,0.00
