Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOB Value (USD),Total tax (ETB),Total tax (USD)
2013,01,1000 100,07139000,"Dried leguminous vegetables, shelled, nes",Indonesia,,,"942,360.00","940,000.00","16,975,876.63","902,967.36",0.00,0.00
2013,01,1000 100,09101000,Ginger,Sudan,,,"962,970.00","960,700.00","16,361,097.91","870,266.54",0.00,0.00
2013,01,1071 100,06021000,UNROOTED CUTTINGS AND SLIPS,Netherlands,"41,845,797",UN,"57,538.00","47,734.00","16,226,298.99","863,096.42",0.00,0.00
2013,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Sudan,,,"372,158.60","368,520.00","15,969,196.14","849,420.81",0.00,0.00
2013,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Italy,,,"1,040,021.60","1,037,862.00","15,491,928.10","824,034.35",0.00,0.00
2013,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Turkey,,,"1,174,344.00","1,172,000.00","15,368,524.80","817,470.38",0.00,0.00
2013,01,1000 101,12074000,Sesamum seeds,Japan,,,"495,185.60","494,000.00","15,210,898.74","809,086.05",0.00,0.00
2013,01,1071 100,07135000,"Dried broad beans and horse beans, shelled",Sudan,,,"1,516,719.60","1,509,800.00","14,201,005.63","755,368.62",0.00,0.00
2013,01,1000 100,07099000,"Other vegetables, fresh or chilled, nes",United Kingdom,,,"32,410.99","25,511.70","14,157,247.66","753,041.08",0.00,0.00
2013,01,1071 100,12074000,Sesamum seeds,Turkey,,,"456,912.00","456,000.00","14,107,516.62","750,395.83",0.00,0.00
2013,01,1000 100,41131000,LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..,Hong Kong,,,"41,354.50","40,315.50","14,090,006.52","749,464.45",0.00,0.00
2013,01,1000 100,41120000,LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..,Thailand,,,"11,292.00","10,865.50","13,781,191.14","733,038.18",0.00,0.00
2013,01,1000 100,12079900,"Other oil seeds and oleaginous fruits, nes",United States,,,"1,016,006.00","1,013,978.00","13,663,630.47","726,784.99",0.00,0.00
2013,01,1000 100,12010000,Soya beans,Malaysia,,,"1,383,762.00","1,381,000.00","13,328,541.72","708,961.21",0.00,0.00
2013,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Russian Federation,,,"997,237.59","995,236.00","13,143,055.49","699,094.98",0.00,0.00
2013,01,1071 100,01029010,---OX,Djibouti,"1,202",UN,"427,130.00","427,130.00","13,093,637.38","696,466.37",0.00,0.00
2013,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Australia,,,"150,675.00","148,800.00","12,411,548.02","660,185.21",0.00,0.00
2013,01,1000 100,09041100,Dried pepper (excl. crushed or ground),Sudan,,,"334,787.80","334,180.00","12,383,251.69","658,680.10",0.00,0.00
2013,01,1071 100,06031900,--Other cut flowers,Netherlands,,,"192,421.75","169,331.98","12,263,502.02","652,310.47",0.00,0.00
2013,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Kenya,,,"1,479,344.00","1,477,970.00","11,982,724.94","637,375.60",0.00,0.00
2013,01,1000 100,12010000,Soya beans,Indonesia,,,"1,162,320.00","1,160,000.00","11,965,377.21","636,452.85",0.00,0.00
2013,01,1000 100,62071100,MEN'S OR BOYS' UNDERPANTS AND BRIEFS OF COTTON,Germany,"132,292",UN,"24,954.00","24,954.00","11,747,772.21","624,878.18",0.00,0.00
2013,01,1000 101,52051100,"Uncombed single cotton yarn, with >=85% cotton, nprs, <=14mn",China,,,"254,947.40","248,187.80","11,375,717.95","605,088.16",0.00,0.00
2013,01,1000 101,12074000,Sesamum seeds,Turkey,,,"380,912.00","380,000.00","10,617,946.79","564,781.40",0.00,0.00
2013,01,1000 101,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Belgium,,,"194,400.00","192,000.00","10,383,554.11","552,313.77",0.00,0.00
2013,01,1071 100,01041000,LIVE SHEEP,Saudi Arabia,"8,600",UN,"223,000.00","223,000.00","9,766,800.80","519,507.92",0.00,0.00
2013,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",India,,,"684,044.00","682,586.00","9,428,237.89","501,499.35",0.00,0.00
2013,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",South Africa,,,"778,232.00","776,678.00","9,375,999.21","498,720.71",0.00,0.00
