Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOB Value (USD),Total tax (ETB),Total tax (USD)
2015,01,1000 100,12074090,--OTHER,China,,,"19,704,428.80","19,665,000.00","655,683,053.59","31,550,527.07",0.00,0.00
2015,01,1000 100,71081300,"--Other Semi-manufacturedforms gold (incl. gold plated with platinum), non-monetary",Switzerland,,,883.90,796.17,"501,270,669.85","24,120,424.88",0.00,0.00
2015,01,1071 100,07099900,--OTHER,Somalia,,,"3,649,020.00","3,168,808.81","332,084,065.67","15,979,408.41",0.00,0.00
2015,01,1071 100,06031100,--Roses,Netherlands,,,"2,964,652.80","2,609,312.22","206,740,208.31","9,948,041.97",0.00,0.00
2015,01,1000 100,12074090,--OTHER,Israel,,,"4,835,674.20","4,826,000.00","161,575,497.24","7,774,780.93",0.00,0.00
2015,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Saudi Arabia,,,"1,655,821.25","1,629,950.00","136,525,012.13","6,569,387.55",0.00,0.00
2015,01,1000 100,02045000,"Fresh, chilled or frozen goat meat",United Arab Emirates,,,"994,203.20","969,685.91","98,159,309.72","4,723,285.04",0.00,0.00
2015,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Pakistan,,,"8,052,100.80","8,036,000.00","97,740,443.46","4,703,129.80",0.00,0.00
2015,01,1071 100,12074090,--OTHER,China,,,"2,760,510.00","2,755,000.00","92,834,513.36","4,467,063.49",0.00,0.00
2015,01,1071 100,07099900,--OTHER,Djibouti,,,"548,427.00","522,285.47","79,886,661.80","3,844,031.46",0.00,0.00
2015,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",India,,,"2,385,630.00","2,379,743.30","55,124,578.52","2,652,515.57",0.00,0.00
2015,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Germany,,,"444,513.00","440,400.00","49,788,021.64","2,395,728.11",0.00,0.00
2015,01,1000 100,02045000,"Fresh, chilled or frozen goat meat",Saudi Arabia,,,"418,701.00","411,960.45","46,289,721.93","2,227,394.95",0.00,0.00
2015,01,1071 100,01022910,---OX,Somalia,"3,200",UN,"1,109,750.00","1,108,805.00","39,014,322.72","1,877,313.19",0.00,0.00
2015,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Japan,,,"449,659.00","444,000.00","34,385,607.88","1,654,586.08",0.00,0.00
2015,01,1000 100,12079990,--OTHER,United States,,,"1,970,298.00","1,966,482.00","34,013,801.87","1,636,695.31",0.00,0.00
2015,01,1071 100,07135000,"Dried broad beans and horse beans, shelled",Sudan,,,"3,453,480.00","3,440,000.00","33,666,866.16","1,620,001.26",0.00,0.00
2015,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Saudi Arabia,,,"402,120.00","396,000.00","32,228,728.56","1,550,800.14",0.00,0.00
2015,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",United States,,,"329,232.00","325,200.00","30,969,599.46","1,490,212.66",0.00,0.00
2015,01,3052 505,41131000,LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..,China,,,"81,434.50","80,549.90","27,832,485.48","1,339,259.24",0.00,0.00
