Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOB Value (USD),Total tax (ETB),Total tax (USD)
2009,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",United Kingdom,,,"760,669.00","759,000.00","6,211,835.94","523,194.50",0.00,0.00
2009,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",France,,,"243,060.00","240,000.00","5,780,559.98","486,870.10",0.00,0.00
2009,01,1000 100,12074000,Sesamum seeds,India,,,"418,646.00","417,810.00","5,434,945.38","457,760.56",0.00,0.00
2009,01,1000 100,12079900,"Other oil seeds and oleaginous fruits, nes",United States,,,"659,196.00","657,879.00","5,317,016.94","447,827.99",0.00,0.00
2009,01,1000 100,41053000,TANNED/CRUST SKINS OF SHEEP/LAMPS..IN THE DRY STATE(CRUST),Italy,,,"17,564.00","17,285.00","5,273,807.25","444,188.64",0.00,0.00
2009,01,1071 100,06021000,UNROOTED CUTTINGS AND SLIPS,United States,"5,156,380",UN,"29,309.00","26,626.00","5,249,337.87","442,127.69",0.00,0.00
2009,01,1000 505,41051000,TANNED/CRUST SKINS OF SHEEP/LAMPS ...IN THE WET STATE...(WET-BLUE),Italy,,,"85,091.00","83,621.00","5,213,361.95","439,097.60","260,668.09","21,954.88"
2009,01,1000 100,02045000,"Fresh, chilled or frozen goat meat",Saudi Arabia,,,"133,128.00","133,128.00","4,913,471.06","413,839.17",0.00,0.00
2009,01,1000 100,06021000,UNROOTED CUTTINGS AND SLIPS,United States,"6,275,649",UN,"5,600.00","4,260.00","4,769,210.71","401,688.78",0.00,0.00
2009,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",United Arab Emirates,,,"760,210.00","758,472.00","4,740,441.86","399,265.71",0.00,0.00
2009,01,1000 100,02041000,Fresh or chilled lamb carcasses and half carcasses,Saudi Arabia,,,"98,741.00","97,781.00","4,558,276.41","383,922.75",0.00,0.00
2009,01,1000 100,06031100,--Roses,Netherlands,"2,940,540",,"126,513.00","117,117.00","4,471,302.72","376,597.35",0.00,0.00
2009,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Italy,,,"742,580.00","740,956.00","4,436,065.96","373,629.52",0.00,0.00
2009,01,1000 505,41022100,"Pickled skins of sheep or lambs, without wool, not tanned",Italy,,,"29,072.00","28,573.00","4,266,711.94","359,365.61","426,671.19","35,936.56"
2009,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",France,,,"128,805.00","127,200.00","4,257,244.29","358,568.19",0.00,0.00
2009,01,1000 100,12074000,Sesamum seeds,Greece,,,"323,657.40","323,000.00","4,255,548.67","358,425.38",0.00,0.00
2009,01,1000 100,12074000,Sesamum seeds,"Korea, Democratic People's Rep. of",,,"300,600.00","300,000.00","4,231,402.65","356,391.67",0.00,0.00
2009,01,1000 100,01029010,---OX,United Arab Emirates,932,UN,"256,350.00","256,350.00","4,182,237.48","352,250.71",0.00,0.00
2009,01,1000 505,41022100,"Pickled skins of sheep or lambs, without wool, not tanned",India,,,"46,125.00","45,317.00","4,137,746.87","348,503.47","413,774.68","34,850.35"
2009,01,1000 100,12074000,Sesamum seeds,Spain,,,"323,646.00","323,000.00","4,126,128.78","347,524.93",0.00,0.00
2009,01,1000 101,12074000,Sesamum seeds,China,,,"285,684.00","285,000.00","4,034,888.07","339,840.15",0.00,0.00
2009,01,1000 505,41062100,TANNED/CRUST SKINS OF GOATS/KIDS ..IN THE WET STATE...(WET-BLUE),China,,,"104,635.00","103,088.00","3,988,237.95","335,911.02","199,411.89","16,795.55"
2009,01,1071 100,44072900,OTHER TROPICAL WOOD SPEC'D IN SUBHDG.NOTE 1 TO CH44 SAWN LENGTHWSE>6MM NES,Sudan,"5,203",M3,"1,818,250.00","1,817,850.00","3,884,438.66","327,168.48",0.00,0.00
2009,01,1000 100,41022100,"Pickled skins of sheep or lambs, without wool, not tanned",Italy,,,"28,643.00","28,140.00","3,873,281.58","326,228.77","387,328.15","32,622.88"
2009,01,1000 505,41022100,"Pickled skins of sheep or lambs, without wool, not tanned",Malaysia,,,"25,540.00","25,103.00","3,728,154.55","314,005.39","372,815.45","31,400.54"
2009,01,1071 100,06031100,--Roses,Germany,"2,686,850",,"96,176.00","88,639.00","3,716,306.71","313,007.50",0.00,0.00
2009,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Djibouti,,,"183,737.60","181,320.00","3,657,185.72","308,028.01",0.00,0.00
2009,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",United States,,,"74,085.00","73,200.00","3,533,207.54","297,585.89",0.00,0.00
2009,01,1000 100,01061910,---Camels,Egypt,600,UN,"120,000.00","120,000.00","3,526,719.12","297,039.40",0.00,0.00
2009,01,1000 100,41139000,OTHER LEATHER PREPARED AFTER TANNING OR CRUSTING...NES,China,,,"4,417.10","4,112.60","3,479,566.97","293,067.99",0.00,0.00
2009,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Sudan,,,"162,278.50","160,440.00","3,373,062.57","284,097.61",0.00,0.00
2009,01,1000 100,01029010,---OX,Yemen,614,UN,"194,200.00","194,200.00","3,316,963.20","279,372.62",0.00,0.00
2009,01,1071 100,12074000,Sesamum seeds,United Kingdom,,,"251,250.00","250,000.00","3,301,656.23","278,083.39",0.00,0.00
2009,01,1000 505,64039900,"FOOTWEAR WITH RUBBER... SOLES, LEATHER UPPERS, NOT COVERING THE ANKLE",Italy,"25,490",2UN,"28,423.00","25,714.00","3,290,636.29","277,155.23",0.00,0.00
2009,01,1071 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Djibouti,,,"753,804.80","752,000.00","3,277,156.16","276,019.86",0.00,0.00
2009,01,1071 100,01029010,---OX,Somalia,"1,143",UN,"228,600.00","228,600.00","3,232,480.72","272,257.05",0.00,0.00
2009,01,1071 100,12074000,Sesamum seeds,Jordan,,,"228,456.00","228,000.00","3,131,554.91","263,756.53",0.00,0.00
2009,01,1071 100,01029010,---OX,Saudi Arabia,500,UN,"162,500.00","162,500.00","3,026,958.44","254,946.85",0.00,0.00
2009,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Italy,,,"91,095.00","90,000.00","2,947,093.77","248,220.21",0.00,0.00
2009,01,1071 100,12074000,Sesamum seeds,Yemen,,,"190,881.00","190,500.00","2,754,710.00","232,016.61",0.00,0.00
2009,01,1071 100,06021000,UNROOTED CUTTINGS AND SLIPS,Canada,"2,653,040",UN,"14,748.00","13,368.00","2,708,345.10","228,111.51",0.00,0.00
2009,01,1000 100,33059000,"Preparations for use on the hair, nes",Sudan,,LTR,"87,525.00","63,330.00","2,643,881.51","222,682.03",0.00,0.00
2009,01,1071 100,01029010,---OX,Djibouti,422,UN,"156,140.00","156,140.00","2,587,529.29","217,935.74",0.00,0.00
2009,01,1000 100,12074000,Sesamum seeds,Canada,,,"209,418.00","209,000.00","2,567,486.35","216,247.62",0.00,0.00
2009,01,1000 100,41062100,TANNED/CRUST SKINS OF GOATS/KIDS ..IN THE WET STATE...(WET-BLUE),Italy,,,"21,289.00","20,544.00","2,539,120.21","213,858.47","3,167,890.26","266,816.89"
2009,01,1000 100,01061910,---Camels,United Arab Emirates,569,UN,"169,550.00","169,550.00","2,507,936.56","211,232.01",0.00,0.00
2009,01,1000 100,12074000,Sesamum seeds,United Kingdom,,,"190,380.00","190,000.00","2,462,544.21","207,408.82",0.00,0.00
2009,01,1000 100,41022100,"Pickled skins of sheep or lambs, without wool, not tanned",Thailand,,,"22,429.00","22,229.90","2,440,249.10","205,531.01","244,024.90","20,553.10"
